dataset,max_data_num,gamma,tau,value
GIGAWORD,25600,3,4,0.9430628330780064
GIGAWORD,51200,3,4,0.9612474768295068
GIGAWORD,102400,3,4,0.9747418164419532
GIGAWORD,204800,3,4,1.0097447208664676
GIGAWORD,3200,3,5,0.9001271126828909
GIGAWORD,6400,3,5,0.8830291162460231
GIGAWORD,12800,3,5,0.8980497441312729
GIGAWORD,25600,3,5,0.935204232912992
GIGAWORD,51200,3,5,0.9801284958380864
GIGAWORD,102400,3,5,0.988829986510199
GIGAWORD,204800,3,5,1.0115111267641497
GIGAWORD,3200,4,1,0.894624550876258
GIGAWORD,6400,4,1,0.9184698617063554
GIGAWORD,12800,4,1,0.8754304543268088
GIGAWORD,25600,4,1,0.8924341463246022
GIGAWORD,51200,4,1,0.9483272257365768
GIGAWORD,102400,4,1,0.9732813646794582
GIGAWORD,204800,4,1,0.954623955650736
GIGAWORD,3200,4,2,0.9116414542868114
GIGAWORD,6400,4,2,0.9018436901651228
GIGAWORD,12800,4,2,0.8889098371181686
GIGAWORD,25600,4,2,0.8951740852763919
GIGAWORD,51200,4,2,0.918795882146914
GIGAWORD,102400,4,2,0.989950964744624
GIGAWORD,204800,4,2,1.004432728596585
GIGAWORD,3200,4,3,0.8905662287865923
GIGAWORD,6400,4,3,0.9371771512615388
GIGAWORD,12800,4,3,0.9198281888736988
GIGAWORD,25600,4,3,0.9254208366592755
GIGAWORD,51200,4,3,0.923914124110999
GIGAWORD,102400,4,3,0.958381022101164
GIGAWORD,204800,4,3,0.9697451555405618
GIGAWORD,3200,4,4,0.887686456337505
GIGAWORD,6400,4,4,0.8907109134948905
GIGAWORD,12800,4,4,0.9028730929024692
GIGAWORD,25600,4,4,0.9310630469616736
GIGAWORD,51200,4,4,0.9270906863672824
GIGAWORD,102400,4,4,0.9830604156095198
GIGAWORD,204800,4,4,0.945500319599482
GIGAWORD,3200,4,5,0.8824558240381905
GIGAWORD,6400,4,5,0.8831489124545056
GIGAWORD,12800,4,5,0.9240669783752018
GIGAWORD,25600,4,5,0.8843041847991375
GIGAWORD,51200,4,5,0.90535583609589
GIGAWORD,102400,4,5,0.9977713734273728
GIGAWORD,204800,4,5,0.998424287279029
GIGAWORD,3200,5,1,0.8864757820538449
GIGAWORD,6400,5,1,0.9186194669967304
GIGAWORD,12800,5,1,0.9147009219756864
GIGAWORD,25600,5,1,0.8873333345390009
GIGAWORD,51200,5,1,0.900923902512411
GIGAWORD,102400,5,1,0.9533144579956092
GIGAWORD,204800,5,1,0.9642160933995472
GIGAWORD,3200,5,2,0.8878433934849209
GIGAWORD,6400,5,2,0.9170886165603392
GIGAWORD,12800,5,2,0.922029018964126
GIGAWORD,25600,5,2,0.8892936342060953
GIGAWORD,51200,5,2,0.9520740276436624
GIGAWORD,102400,5,2,0.9407288176261251
GIGAWORD,204800,5,2,0.983487921578758
GIGAWORD,3200,5,3,0.868977390035764
GIGAWORD,6400,5,3,0.8748873812117602
GIGAWORD,12800,5,3,0.8930454706949528
GIGAWORD,25600,5,3,0.9175950344083766
GIGAWORD,51200,5,3,0.8969522520821259
GIGAWORD,102400,5,3,0.97319933261898
GIGAWORD,204800,5,3,1.0022605618025315
GIGAWORD,3200,5,4,0.8873536062276359
GIGAWORD,6400,5,4,0.9012739245981496
GIGAWORD,12800,5,4,0.8814416507211971
GIGAWORD,25600,5,4,0.9252371050059178
GIGAWORD,51200,5,4,0.9189805861224148
GIGAWORD,102400,5,4,0.957515232256834
GIGAWORD,204800,5,4,0.9604838169642236
GIGAWORD,3200,5,5,0.8620802435466479
GIGAWORD,6400,5,5,0.8892657078032368
GIGAWORD,12800,5,5,0.8635975035388499
GIGAWORD,25600,5,5,0.931714402520128
GIGAWORD,51200,5,5,0.959301548292424
GIGAWORD,102400,5,5,0.9263462524200834
GIGAWORD,204800,5,5,0.9777963030921374
WMT19,3200,3,1,0.6206159476216945
WMT19,6400,3,1,0.7402101725343316
WMT19,12800,3,1,0.8204418967574492
WMT19,25600,3,1,0.9327450424530096
WMT19,51200,3,1,0.9938039040473896
WMT19,102400,3,1,0.98835087609233
